institution,total,total_men,total_women,total_amind,men_amind,women_amind,total_asian,men_asian,women_asian,total_black,men_black,women_black,total_hisp,men_hisp,women_hisp,total_hapac,men_hapac,women_hapac,total_white,men_white,women_white,total_twoplus,men_twoplus,women_twoplus,total_unk,men_unk,women_unk,total_alien,men_alien,women_alien,sector,degree_status,level,hbcu,tribal,p_admit_total,p_admit_men,p_admit_women,sat_math_25,sat_math_75,act_math_25,act_math_75,out_tuition,in_tuition,total_eng,men_eng,women_eng,amind_eng,amind_men_eng,amind_women_eng,asian_eng,asian_men_eng,asian_women_eng,black_eng,black_men_eng,black_women_eng,hisp_eng,hisp_men_eng,hisp_women_eng,hapac_eng,hapac_men_eng,hapac_women_eng,white_eng,white_men_eng,white_women_eng,twoplus_eng,twoplus_men_eng,twoplus_women_eng,unk_eng,unk_men_eng,unk_women_eng,alien_eng,alien_men_eng,alien_women_eng,total_bio,men_bio,women_bio,amind_bio,amind_men_bio,amind_women_bio,asian_bio,asian_men_bio,asian_women_bio,black_bio,black_men_bio,black_women_bio,hisp_bio,hisp_men_bio,hisp_women_bio,hapac_bio,hapac_men_bio,hapac_women_bio,white_bio,white_men_bio,white_women_bio,unk_bio,unk_men_bio,unk_women_bio,twoplus_bio,twoplus_men_bio,twoplus_women_bio,alien_bio,alien_men_bio,alien_women_bio,total_math,men_math,women_math,amind_math,amind_men_math,amind_women_math,asian_math,asian_men_math,asian_women_math,black_math,black_men_math,black_women_math,hisp_math,hisp_men_math,hisp_women_math,hapac_math,hapac_men_math,hapac_women_math,white_math,white_men_math,white_women_math,twoplus_math,twoplus_men_math,twoplus_women_math,unk_math,unk_men_math,unk_women_math,alien_math,alien_men_math,alien_women_math,total_phys,men_phys,women_phys,amind_phys,amind_men_phys,amind_women_phys,asian_phys,asian_men_phys,asian_women_phys,black_phys,black_men_phys,black_women_phys,hisp_phys,hisp_men_phys,hisp_women_phys,hapac_phys,hapac_men_phys,hapac_women_phys,white_phys,white_men_phys,white_women_phys,twoplus_phys,twoplus_men_phys,twoplus_women_phys,unk_phys,unk_men_phys,unk_women_phys,alien_phys,alien_men_phys,alien_women_phys
Clinton College,194,106,88,0,0,0,0,0,0,162,89,73,3,2,1,0,0,0,1,1,0,3,1,2,25,13,12,0,0,0,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,5320,5320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clover Park Technical College,3682,1312,2370,30,11,19,274,81,193,552,213,339,256,82,174,75,21,54,2019,747,1272,187,65,122,264,69,195,25,23,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,12960,5617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Coe College,1436,631,805,3,2,1,33,9,24,71,28,43,109,44,65,1,1,0,1049,458,591,45,23,22,61,32,29,64,34,30,2,1,1,2,2,55,54,56,530,630,22,28,37320,37320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,126,176,0,0,0,8,3,5,22,9,13,39,14,25,1,1,0,215,91,124,8,5,3,5,2,3,4,1,3,21,15,6,0,0,0,2,0,2,1,1,0,2,2,0,0,0,0,12,9,3,3,3,0,1,0,1,0,0,0,141,93,48,0,0,0,2,1,1,2,1,1,10,5,5,1,1,0,106,70,36,10,8,2,5,3,2,5,4,1
Colby College,1847,869,978,3,1,2,103,49,54,56,30,26,113,59,54,0,0,0,1110,523,587,98,44,54,168,81,87,196,82,114,2,1,1,2,2,28,26,30,620,720,27,32,47350,47350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,72,124,0,0,0,16,7,9,8,2,6,8,4,4,0,0,0,118,39,79,7,2,5,22,11,11,17,7,10,95,61,34,0,0,0,7,2,5,1,0,1,3,2,1,0,0,0,46,32,14,5,3,2,10,9,1,23,13,10,119,77,42,0,0,0,7,6,1,3,2,1,10,7,3,0,0,0,67,42,25,4,2,2,8,6,2,20,12,8
Colby-Sawyer College,1369,420,949,3,2,1,21,8,13,88,29,59,41,14,27,1,0,1,860,246,614,7,2,5,209,59,150,139,60,79,2,1,1,2,2,91,85,93,NA,NA,NA,NA,38040,38040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,41,119,0,0,0,1,0,1,11,2,9,8,2,6,0,0,0,85,22,63,0,0,0,17,2,15,38,13,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Biblical Studies-Houston,496,275,221,0,0,0,7,4,3,240,131,109,151,82,69,0,0,0,80,48,32,13,8,5,5,2,3,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,6946,6946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Business and Technology-Kendall,63,29,34,1,0,1,0,0,0,5,2,3,42,21,21,0,0,0,5,3,2,0,0,0,0,0,0,10,3,7,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17870,17870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Business and Technology-Miami Gardens,89,28,61,1,0,1,0,0,0,24,7,17,59,19,40,1,0,1,1,0,1,0,0,0,0,0,0,3,2,1,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,17870,17870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Central Florida,7931,2908,5023,32,12,20,125,48,77,1169,390,779,1112,420,692,23,12,11,4931,1815,3116,0,0,0,444,162,282,95,49,46,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,10126,2570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Coastal Georgia,3008,1036,1972,13,1,12,50,24,26,501,146,355,150,43,107,3,2,1,2029,722,1307,114,41,73,115,44,71,33,13,20,1,1,1,2,2,92,92,93,400,500,16,21,12566,4510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,98,184,1,0,1,11,5,6,30,10,20,22,9,13,1,1,0,188,65,123,15,4,11,12,4,8,2,0,2,34,16,18,0,0,0,2,0,2,4,2,2,2,1,1,0,0,0,22,12,10,0,0,0,3,1,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Health Care Professions-Northwest,1172,124,1048,6,2,4,21,6,15,393,41,352,438,49,389,2,0,2,283,24,259,28,2,26,1,0,1,0,0,0,6,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Menominee Nation,560,132,428,331,98,233,9,1,8,25,4,21,29,3,26,2,0,2,151,23,128,0,0,0,12,3,9,1,0,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,6170,6170,10,9,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,47,5,42,17,2,15,3,0,3,4,0,4,3,2,1,1,0,1,17,1,16,0,0,0,1,0,1,1,0,1,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Saint Benedict,2020,0,2020,14,0,14,116,0,116,48,0,48,97,0,97,3,0,3,1638,0,1638,12,0,12,0,0,0,92,0,92,2,1,1,2,2,82,NA,82,480,615,23,28,39402,39402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,0,276,3,0,3,18,0,18,9,0,9,16,0,16,1,0,1,215,0,215,0,0,0,0,0,0,14,0,14,53,0,53,1,0,1,3,0,3,0,0,0,3,0,3,0,0,0,43,0,43,2,0,2,0,0,0,1,0,1,68,0,68,1,0,1,5,0,5,1,0,1,1,0,1,0,0,0,56,0,56,1,0,1,0,0,0,3,0,3
College of Southern Nevada,35943,15882,20061,231,100,131,3385,1493,1892,4240,1752,2488,9534,4100,5434,653,298,355,12911,5907,7004,1712,750,962,2875,1302,1573,402,180,222,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,9345,2700,483,421,62,4,4,0,42,38,4,44,33,11,167,150,17,12,11,1,154,130,24,14,11,3,42,40,2,4,4,0,752,252,500,8,2,6,92,34,58,76,21,55,238,85,153,12,9,3,222,75,147,40,11,29,54,14,40,10,1,9,89,55,34,1,0,1,10,5,5,7,5,2,28,19,9,1,0,1,28,16,12,5,3,2,9,7,2,0,0,0,196,97,99,1,1,0,25,14,11,18,10,8,55,23,32,2,0,2,74,40,34,9,4,5,11,5,6,1,0,1
College of the Holy Cross,2787,1421,1366,5,3,2,141,54,87,110,47,63,296,130,166,1,0,1,1913,1036,877,98,45,53,183,83,100,40,23,17,2,1,1,2,2,43,49,39,NA,NA,NA,NA,45692,45692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,52,76,0,0,0,11,5,6,0,0,0,10,5,5,0,0,0,93,36,57,5,2,3,7,3,4,2,1,1,113,66,47,0,0,0,8,8,0,1,0,1,10,6,4,0,0,0,81,45,36,3,2,1,8,4,4,2,1,1,163,109,54,0,0,0,17,9,8,3,2,1,14,10,4,0,0,0,111,79,32,6,3,3,10,6,4,2,0,2
College of the Ozarks,1433,700,733,7,2,5,7,6,1,16,10,6,28,17,11,0,0,0,1319,631,688,27,16,11,0,0,0,29,18,11,2,1,1,2,2,8,12,6,540,640,19,25,18530,18530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,32,30,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,54,29,25,4,2,2,0,0,0,1,0,1,19,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,7,0,0,0,0,0,0,0,0,0,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,11,0,0,0,0,0,0,2,2,0
CollegeAmerica-Cheyenne,60,21,39,0,0,0,0,0,0,4,2,2,12,4,8,0,0,0,39,13,26,0,0,0,5,2,3,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16968,16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CollegeAmerica-Colorado Springs,350,136,214,5,1,4,3,0,3,58,31,27,54,21,33,2,0,2,177,65,112,15,4,11,36,14,22,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16968,16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CollegeAmerica-Denver,407,82,325,3,0,3,8,3,5,64,14,50,134,28,106,5,0,5,149,26,123,6,3,3,38,8,30,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16968,16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CollegeAmerica-Flagstaff,176,33,143,111,17,94,0,0,0,2,0,2,22,7,15,0,0,0,35,9,26,1,0,1,5,0,5,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16968,16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CollegeAmerica-Fort Collins,133,35,98,3,1,2,1,1,0,3,2,1,34,7,27,0,0,0,77,22,55,1,0,1,14,2,12,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16968,16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CollegeAmerica-Phoenix,569,187,382,48,14,34,8,3,5,82,36,46,252,66,186,1,1,0,156,62,94,8,3,5,14,2,12,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,16968,16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collins College,83,65,18,2,2,0,0,0,0,7,5,2,13,7,6,0,0,0,27,23,4,2,2,0,32,26,6,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado Mountain College,5705,2502,3203,26,10,16,44,10,34,40,24,16,993,381,612,6,0,6,3791,1737,2054,70,35,35,728,300,428,7,5,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,7788,2604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia Basin College,6385,3037,3348,56,29,27,119,54,65,84,46,38,2011,861,1150,12,8,4,3680,1812,1868,187,90,97,227,131,96,9,6,3,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,6841,4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College-Hollywood,308,179,129,0,0,0,10,5,5,58,29,29,64,43,21,0,0,0,135,82,53,17,10,7,5,3,2,19,7,12,2,1,1,2,2,78,79,78,NA,NA,NA,NA,18975,18975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compass College of Cinematic Arts,96,79,17,0,0,0,2,2,0,4,3,1,3,2,1,0,0,0,80,66,14,4,4,0,3,2,1,0,0,0,2,1,1,2,2,77,74,90,NA,NA,NA,NA,14115,14115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conception Seminary College,93,91,2,1,1,0,7,7,0,1,1,0,15,14,1,0,0,0,56,55,1,0,0,0,13,13,0,0,0,0,2,1,1,2,2,100,100,NA,NA,NA,19,29,19530,19530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Concorde Career College-Kansas City,590,57,533,3,1,2,11,3,8,238,24,214,56,4,52,1,0,1,248,24,224,20,1,19,13,0,13,0,0,0,3,1,1,2,2,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
